SampleName,SPI ,APA,MATA
BOR001,0.024571,-0.342124,0.635307
BOR002,0.116287,-0.331102,0.425733
BOR003,-0.082861,0.343771,0.506995
BOR004,-0.215581,-0.249455,0.326929
BOR005,-0.292245,-0.019635,0.547264
BOR006,-0.088102,-0.039025,0.498801
BOR007,-0.155892,-0.064608,0.265955
BOR008,-0.302723,-0.042208,0.167564
BOR009,-0.599713,-0.139473,0.062174
BOR010,-0.517965,-0.053991,0.072672
BOR011,-0.181421,0.002117,-0.403395
BOR012,-0.433233,0.062885,-0.234561
BOR013,0.142509,0.000150,0.092595
BOR014,0.217268,0.262576,0.241881
BOR015,0.414222,-0.105367,0.047552
BOR016,0.247600,-0.003720,0.034274
BOR017,0.024690,-0.170254,-0.113103
BOR018,0.246178,-0.140760,-0.326802
BOR019,0.198062,-0.286267,-0.138640
BOR020,-0.023882,-0.027420,-0.406679
BOR021,0.159865,-0.011740,-0.537911
BOR022,0.156103,0.031888,-0.351588
