SampleName,Diadinoxanthin,Lutein,Zeaxanthin,Canthaxanthin,Diatoxanthin,Aphanizophyll,Alloxanthin,Echinenone,Scytonemin,Astaxanthin
BOR001,1.322451528,6.190234547,3.729885162,1.093324391,4.942021785,3.424560278,1.351669007,2.159699301,0.515664872,1.384306254
BOR002,1.319296346,6.152748914,3.715104541,0.929273507,5.384442619,2.890111635,1.303650541,2.204049341,0,1.354725485
BOR003,1.273728352,6.092703845,3.735218131,0.975563396,4.868331152,3.144510337,1.477541546,2.362227087,1.763793689,1.374841829
BOR004,1.241279939,6.406285133,3.859732086,1.093185855,4.772312902,2.985079759,1.553876012,2.241894381,0,1.483190864
BOR005,1.028774938,5.983591557,3.736942271,1.42724266,5.015865481,3.201878036,1.342408,2.151644147,1.989100717,1.156465363
BOR006,1.245612107,6.076099505,3.734285229,1.07340946,5.154818837,2.893511096,1.26958072,2.230271254,1.741543609,1.367072907
BOR007,1.288691239,6.177774933,3.703205254,1.000665871,5.314799103,2.720156842,1.317820821,2.218975173,1.103991234,1.390564091
BOR008,1.331348945,5.890070767,3.656991854,1.314517554,5.709941807,2.208791557,1.139233828,2.195884357,1.599319337,1.507730342
BOR009,1.364229929,6.016845441,3.522968378,1.413922898,6.113970583,1.445712338,0.848027637,2.062844747,0.83977962,1.541276712
BOR010,1.487365775,5.930925705,3.616941904,0.891347728,5.735979038,1.650369217,1.146969023,2.567790704,1.537519318,1.684300166
BOR011,1.366050544,6.492554408,3.572955276,0.864676034,5.269128705,1.837555777,1.031826204,2.329725833,1.605814899,1.501902564
BOR012,1.506885144,6.010125754,3.469555227,1.165260029,5.985507897,1.394989649,0.952622779,2.444281199,1.195433651,1.458998946
BOR013,1.761774741,6.540853749,3.258885446,0.892338199,5.584175679,1.179571333,0.972504147,2.190338827,1.396960478,1.558052171
BOR014,1.461714382,5.096678882,2.91383243,0.720513353,7.015401148,1.274581688,0.928934352,2.766402162,1.100304762,1.520103363
BOR015,1.485281465,4.882085872,2.723372772,0.67399679,7.612388046,1.173712758,0.770338024,1.976911731,0.773093535,1.289502966
BOR016,1.330531349,5.251196469,2.879743822,1.076161791,7.271738786,1.305673762,0.611332886,1.955812408,0.739998561,1.368969105
BOR017,1.298841175,5.986537009,3.233395742,1.393869108,6.484379297,1.156608172,0.717334974,2.033902854,0.512828639,1.333201519
BOR018,1.36844405,4.762122873,2.936531724,1.213826697,7.404270579,1.484673106,0.942784648,2.078471003,0.742223948,1.601778628
BOR019,1.249170209,4.404979885,2.76767712,1.202669615,7.810879455,1.164268561,1.001661781,1.995039425,0.685671006,1.452674312
BOR020,1.49289682,5.147612902,2.992698923,1.204023453,7.244839848,1.2153689,0.815275818,2.072304775,0.578016677,1.268609545
BOR021,1.899266536,5.186698348,3.198633298,1.242038149,6.820359967,1.20011073,1.0699342,2.413925973,0.965582251,1.3620978
BOR022,2.019508639,5.662577857,3.528862584,0.779816104,6.346691563,1.204028243,1.193186664,2.246224428,0.79236269,1.403060065
